B, 6, 2938
P, 6, 0
D, 6, 255
B, 10, 2938
P, 10, 1
D, 10, 132
B, 14, 2938
P, 14, 0
D, 14, 255
B, 26, 2938
P, 26, 1
D, 26, 84
B, 30, 2938
P, 30, 1
D, 30, 94
B, 46, 2938
P, 46, 0
D, 46, 255
B, 54, 2938
P, 54, 0
D, 54, 255
B, 78, 2938
P, 78, 0
D, 78, 255
B, 86, 2938
P, 86, 1
D, 86, 100
B, 102, 2938
P, 102, 1
D, 102, 102
B, 126, 2938
P, 126, 1
D, 126, 97
B, 150, 2938
P, 150, 1
D, 150, 99
B, 174, 2938
P, 174, 1
D, 174, 99
B, 198, 2938
P, 198, 1
D, 198, 98
B, 210, 2938
P, 210, 0
D, 210, 173
B, 222, 2938
P, 222, 0
D, 222, 255
B, 246, 2938
P, 246, 0
D, 246, 255
B, 270, 2938
P, 270, 0
D, 270, 255
B, 294, 2938
P, 294, 0
D, 294, 255
B, 318, 2938
P, 318, 0
D, 318, 255
B, 342, 2938
P, 342, 1
D, 342, 99
B, 358, 2938
P, 358, 0
D, 358, 255
B, 366, 2938
P, 366, 0
D, 366, 255
B, 390, 2938
P, 390, 0
D, 390, 255
B, 402, 2938
P, 402, 1
D, 402, 23
B, 414, 2938
P, 414, 0
D, 414, 255
B, 438, 2938
P, 438, 0
D, 438, 255
B, 462, 2938
P, 462, 0
D, 462, 255
B, 486, 2938
P, 486, 0
D, 486, 255
B, 494, 2938
P, 494, 1
D, 494, 98
B, 510, 2938
P, 510, 1
D, 510, 99
B, 534, 2938
P, 534, 1
D, 534, 103
B, 558, 2938
P, 558, 1
D, 558, 102
B, 578, 2938
P, 578, 0
D, 578, 255
B, 582, 2938
P, 582, 0
D, 582, 255
B, 606, 2938
P, 606, 0
D, 606, 255
B, 630, 2938
P, 630, 0
D, 630, 255
B, 654, 2938
P, 654, 0
D, 654, 255
B, 662, 2938
P, 662, 1
D, 662, 102
B, 678, 2938
P, 678, 1
D, 678, 104
B, 702, 2938
P, 702, 1
D, 702, 108
B, 726, 2938
P, 726, 1
D, 726, 106
B, 750, 2938
P, 750, 1
D, 750, 107
B, 774, 2938
P, 774, 1
D, 774, 106
B, 798, 2938
P, 798, 1
D, 798, 106
B, 822, 2938
P, 822, 1
D, 822, 107
B, 846, 2938
P, 846, 1
D, 846, 108
B, 870, 2938
P, 870, 1
D, 870, 109
B, 894, 2938
P, 894, 1
D, 894, 111
B, 918, 2938
P, 918, 1
D, 918, 106
B, 942, 2938
P, 942, 1
D, 942, 107
B, 966, 2938
P, 966, 1
D, 966, 106
B, 990, 2938
P, 990, 1
D, 990, 111
