B, 20, 2879
P, 20, 0
D, 20, 255
B, 30, 2879
P, 30, 1
D, 30, 18
V, 40, 2859
H, 40, 0
C, 40, 1546
B, 50, 2879
P, 50, 0
D, 50, 255
B, 60, 2879
P, 60, 1
D, 60, 15
V, 70, 2859
H, 70, 0
C, 70, 1546
B, 80, 2879
P, 80, 1
D, 80, 12
V, 90, 2859
H, 90, 0
C, 90, 1546
B, 100, 2879
P, 100, 0
D, 100, 255
B, 140, 2879
P, 140, 0
D, 140, 255
V, 150, 2859
H, 150, 0
C, 150, 1700
B, 200, 2879
P, 200, 0
D, 200, 255
B, 260, 2879
P, 260, 0
D, 260, 255
B, 300, 2879
P, 300, 1
D, 300, 56
B, 310, 2879
P, 310, 0
D, 310, 255
B, 320, 2879
P, 320, 0
D, 320, 255
V, 340, 2859
H, 340, 0
C, 340, 1202
B, 360, 2879
P, 360, 0
D, 360, 5
B, 370, 2879
P, 370, 1
D, 370, 8
B, 380, 2879
P, 380, 0
D, 380, 5
V, 400, 2879
H, 400, 0
C, 400, 1618
B, 440, 2879
P, 440, 0
D, 440, 255
B, 450, 2898
P, 450, 1
D, 450, 7
V, 460, 2879
H, 460, 0
C, 460, 1616
B, 470, 2879
P, 470, 0
D, 470, 255
B, 500, 2879
P, 500, 1
D, 500, 18
V, 520, 2859
H, 520, 0
C, 520, 1618
B, 560, 2879
P, 560, 0
D, 560, 255
V, 580, 2879
H, 580, 0
C, 580, 1618
B, 620, 2879
P, 620, 0
D, 620, 255
V, 640, 2859
H, 640, 0
C, 640, 1618
B, 680, 2879
P, 680, 0
D, 680, 255
V, 700, 2859
H, 700, 0
C, 700, 1618
B, 740, 2879
P, 740, 0
D, 740, 255
V, 760, 2859
H, 760, 0
C, 760, 1618
B, 800, 2879
P, 800, 0
D, 800, 255
V, 820, 2879
H, 820, 0
C, 820, 1618
B, 860, 2879
P, 860, 0
D, 860, 255
V, 880, 2879
H, 880, 0
C, 880, 1618
B, 920, 2879
P, 920, 0
D, 920, 255
V, 940, 2859
H, 940, 0
C, 940, 1618
B, 980, 2879
P, 980, 0
D, 980, 255
V, 1000, 2879
H, 1000, 0
C, 1000, 1618
B, 1040, 2879
P, 1040, 0
D, 1040, 255
V, 1060, 2859
H, 1060, 0
C, 1060, 1618
B, 1100, 2879
P, 1100, 0
D, 1100, 255
V, 1120, 2859
H, 1120, 0
C, 1120, 1616
B, 1160, 2879
P, 1160, 0
D, 1160, 255
V, 1180, 2859
H, 1180, 0
C, 1180, 1618
B, 1220, 2879
P, 1220, 0
D, 1220, 255
V, 1240, 2859
H, 1240, 0
C, 1240, 1618
B, 1280, 2879
P, 1280, 0
D, 1280, 255
V, 1300, 2859
H, 1300, 0
C, 1300, 1618
B, 1340, 2879
P, 1340, 0
D, 1340, 255
V, 1360, 2859
H, 1360, 0
C, 1360, 1618
B, 1400, 2879
P, 1400, 0
D, 1400, 255
V, 1420, 2859
H, 1420, 0
C, 1420, 1618
B, 1460, 2898
P, 1460, 0
D, 1460, 255
V, 1480, 2859
H, 1480, 0
C, 1480, 1618
B, 1520, 2879
P, 1520, 0
D, 1520, 255
V, 1540, 2859
H, 1540, 0
C, 1540, 1618
B, 1580, 2898
P, 1580, 0
D, 1580, 255
V, 1600, 2859
H, 1600, 0
C, 1600, 1616
B, 1640, 2898
P, 1640, 0
D, 1640, 255
V, 1660, 2859
H, 1660, 0
C, 1660, 1618
B, 1700, 2879
P, 1700, 0
D, 1700, 255
V, 1720, 2859
H, 1720, 0
C, 1720, 1618
B, 1760, 2879
P, 1760, 0
D, 1760, 255
V, 1780, 2859
H, 1780, 0
C, 1780, 1618
B, 1820, 2898
P, 1820, 0
D, 1820, 255
V, 1840, 2859
H, 1840, 0
C, 1840, 1618
B, 1880, 2879
P, 1880, 0
D, 1880, 255
V, 1900, 2859
H, 1900, 0
C, 1900, 1618
B, 1940, 2898
P, 1940, 0
D, 1940, 255
V, 1960, 2859
H, 1960, 0
C, 1960, 1618
B, 2000, 2879
P, 2000, 0
D, 2000, 255
V, 2020, 2859
H, 2020, 0
C, 2020, 1618
B, 2060, 2879
P, 2060, 0
D, 2060, 255
V, 2080, 2859
H, 2080, 0
C, 2080, 1616
B, 2120, 2898
P, 2120, 0
D, 2120, 255
V, 2140, 2859
H, 2140, 0
C, 2140, 1616
B, 2180, 2898
P, 2180, 0
D, 2180, 255
V, 2200, 2859
H, 2200, 0
C, 2200, 1616
B, 2240, 2898
P, 2240, 0
D, 2240, 255
V, 2260, 2859
H, 2260, 0
C, 2260, 1618
B, 2300, 2898
P, 2300, 0
D, 2300, 255
V, 2320, 2859
H, 2320, 0
C, 2320, 1618
B, 2360, 2898
P, 2360, 0
D, 2360, 255
V, 2380, 2859
H, 2380, 0
C, 2380, 1618
B, 2420, 2898
P, 2420, 0
D, 2420, 255
V, 2440, 2859
H, 2440, 0
C, 2440, 1618
B, 2480, 2879
P, 2480, 0
D, 2480, 255
V, 2500, 2859
H, 2500, 0
C, 2500, 1616
B, 2540, 2898
P, 2540, 0
D, 2540, 255
V, 2560, 2859
H, 2560, 0
C, 2560, 1618
B, 2580, 2879
P, 2580, 1
D, 2580, 15
B, 2600, 2898
P, 2600, 0
D, 2600, 255
V, 2620, 2859
H, 2620, 1
C, 2620, 1596
V, 2640, 2859
H, 2640, 0
C, 2640, 1606
V, 2650, 2840
H, 2650, 0
C, 2650, 1202
B, 2660, 2898
P, 2660, 0
D, 2660, 255
B, 2720, 2898
P, 2720, 0
D, 2720, 255
B, 2780, 2898
P, 2780, 0
D, 2780, 255
