3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.44308e-08	0.00100001	6.59383e-10
2	-0.008022	0.002	0.00200001	1.42986e-08	0.00200001	1.86885e-09
3	-0.0107254	0.003	0.00300001	1.4185e-08	0.00300001	2.83575e-09
4	-0.0143399	0.004	0.00400001	1.40862e-08	0.00400001	3.60339e-09
5	-0.0191724	0.005	0.00500001	1.39987e-08	0.00500001	4.1817e-09
6	-0.0256335	0.006	0.00600001	1.39201e-08	0.00600001	4.57456e-09
7	-0.034272	0.007	0.00700001	1.38508e-08	0.00700001	4.82549e-09
8	-0.0458217	0.008	0.00800001	1.37921e-08	0.00800001	4.99593e-09
9	-0.0612636	0.009	0.00900001	1.37449e-08	0.00900001	5.12313e-09
10	-0.0819094	0.01	0.01	1.37084e-08	0.01	5.22252e-09
11	-0.109513	0.011	0.011	1.36797e-08	0.011	5.29961e-09
12	-0.146419	0.012	0.012	1.36552e-08	0.012	5.35822e-09
13	-0.195762	0.013	0.013	1.36311e-08	0.013	5.40109e-09
14	-0.261734	0.014	0.014	1.36046e-08	0.014	5.42966e-09
15	-0.349938	0.015	0.015	1.35742e-08	0.015	5.44557e-09
16	-0.467867	0.016	0.016	1.354e-08	0.016	5.4507e-09
17	-0.625538	0.017	0.017	1.35033e-08	0.017	5.44768e-09
18	-0.836344	0.018	0.018	1.34668e-08	0.018	5.44021e-09
19	-1.11819	0.019	0.019	1.34406e-08	0.019	5.43863e-09
20	-1.49502	0.02	0.02	1.35454e-08	0.02	5.5649e-09
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.23532e-08	0	0.00100001
2	-0.008022	0.002	0.00200001	1.2245e-08	0	0.00200001
3	-0.0107254	0.003	0.00300001	1.2149e-08	0	0.00300001
4	-0.0143399	0.004	0.00400001	1.20639e-08	0	0.00400001
5	-0.0191724	0.005	0.00500001	1.19887e-08	0	0.00500001
6	-0.0256335	0.006	0.00600001	1.19221e-08	0	0.00600001
7	-0.034272	0.007	0.00700001	1.18624e-08	0	0.00700001
8	-0.0458217	0.008	0.00800001	1.18082e-08	0	0.00800001
9	-0.0612636	0.009	0.00900001	1.17593e-08	0	0.00900001
10	-0.0819094	0.01	0.01	1.17168e-08	0	0.01
11	-0.109513	0.011	0.011	1.16823e-08	0	0.011
12	-0.146419	0.012	0.012	1.16556e-08	0	0.012
13	-0.195762	0.013	0.013	1.16348e-08	0	0.013
14	-0.261734	0.014	0.014	1.16173e-08	0	0.014
15	-0.349938	0.015	0.015	1.16002e-08	0	0.015
16	-0.467867	0.016	0.016	1.15817e-08	0	0.016
17	-0.625538	0.017	0.017	1.15608e-08	0	0.017
18	-0.836344	0.018	0.018	1.15381e-08	0	0.018
19	-1.11819	0.019	0.019	1.15172e-08	0	0.019
20	-1.49502	0.02	0.02	1.15613e-08	0	0.02
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.33877e-08	0	0.00100001
2	-0.008022	0.002	0.00200001	1.31953e-08	0	0.00200001
3	-0.0107254	0.003	0.00300001	1.30368e-08	0	0.00300001
4	-0.0143399	0.004	0.00400001	1.29052e-08	0	0.00400001
5	-0.0191724	0.005	0.00500001	1.27942e-08	0	0.00500001
6	-0.0256335	0.006	0.00600001	1.26988e-08	0	0.00600001
7	-0.034272	0.007	0.00700001	1.26154e-08	0	0.00700001
8	-0.0458217	0.008	0.00800001	1.25426e-08	0	0.00800001
9	-0.0612636	0.009	0.00900001	1.24812e-08	0	0.00900001
10	-0.0819094	0.01	0.01	1.24323e-08	0	0.01
11	-0.109513	0.011	0.011	1.2395e-08	0	0.011
12	-0.146419	0.012	0.012	1.23663e-08	0	0.012
13	-0.195762	0.013	0.013	1.23424e-08	0	0.013
14	-0.261734	0.014	0.014	1.23191e-08	0	0.014
15	-0.349938	0.015	0.015	1.22939e-08	0	0.015
16	-0.467867	0.016	0.016	1.22655e-08	0	0.016
17	-0.625538	0.017	0.017	1.22337e-08	0	0.017
18	-0.836344	0.018	0.018	1.22005e-08	0	0.018
19	-1.11819	0.019	0.019	1.21754e-08	0	0.019
20	-1.49502	0.02	0.02	1.22258e-08	0	0.02
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100001	1.35415e-08	0.00100001	1.33616e-09
2	-0.008022	0.002	0.00200001	1.34165e-08	0.00200001	2.21299e-09
3	-0.0107254	0.003	0.00300001	1.33098e-08	0.00300001	2.9423e-09
4	-0.0143399	0.004	0.00400001	1.3217e-08	0.00400001	3.53036e-09
5	-0.0191724	0.005	0.00500001	1.31343e-08	0.00500001	3.97124e-09
6	-0.0256335	0.006	0.00600001	1.30596e-08	0.00600001	4.27093e-09
7	-0.034272	0.007	0.00700001	1.2993e-08	0.00700001	4.46815e-09
8	-0.0458217	0.008	0.00800001	1.29364e-08	0.00800001	4.60663e-09
9	-0.0612636	0.009	0.00900001	1.28918e-08	0.00900001	4.71297e-09
10	-0.0819094	0.01	0.01	1.28585e-08	0.01	4.79849e-09
11	-0.109513	0.011	0.011	1.2834e-08	0.011	4.86711e-09
12	-0.146419	0.012	0.012	1.28139e-08	0.012	4.92089e-09
13	-0.195762	0.013	0.013	1.27942e-08	0.013	4.9609e-09
14	-0.261734	0.014	0.014	1.27721e-08	0.014	4.98804e-09
15	-0.349938	0.015	0.015	1.27462e-08	0.015	5.00346e-09
16	-0.467867	0.016	0.016	1.27161e-08	0.016	5.00859e-09
17	-0.625538	0.017	0.017	1.2683e-08	0.017	5.00575e-09
18	-0.836344	0.018	0.018	1.26508e-08	0.018	4.99934e-09
19	-1.11819	0.019	0.019	1.2643e-08	0.019	5.01389e-09
20	-1.49502	0.02	0.02	1.2996e-08	0.02	5.38613e-09
3e-09	3e-08	2000	4000	2000	1.5e-12
