3e-09	3e-08	2000	4000	2000	1.5e-12	10
1	-0.005	0.002	0.00200002	2.45974e-08	0	0.00200002
2	-0.01	0.003	0.00300002	1.71454e-08	0.00200002	0.000999993
3	-0.015	0.004	0.00400002	1.53192e-08	0.00300002	0.000999998
4	-0.02	0.005	0.00500001	1.44561e-08	0.00400002	0.000999999
5	-0.03	0.006	0.00600001	1.37022e-08	0.00500001	0.000999999
6	-0.05	0.007	0.00700001	1.32426e-08	0.00700001	1.78051e-11
7	-0.1	0.008	0.00800001	1.31576e-08	0.00800001	2.7055e-10
8	-0.2	0.009	0.00900001	1.31184e-08	0.00900001	4.03706e-10
9	-0.5	0.01	0.01	1.30604e-08	0.01	4.72065e-10
10	-1	0.011	0.011	1.30083e-08	0.011	4.80091e-10
11	-1.1	0.012	0.012	1.30037e-08	0.012	4.85894e-10
12	-1.2	0.013	0.013	1.30042e-08	0.013	4.92302e-10
13	-1.3	0.014	0.014	1.30118e-08	0.014	5.05217e-10
14	-1.4	0.015	0.015	1.30277e-08	0.015	5.25801e-10
15	-1.5	0.016	0.016	1.3049e-08	0.016	5.51386e-10
3e-09	3e-08	2000	4000	2000	1.5e-12	10
1	-0.003	0.001	0.00100002	2.34316e-08	0	0.00100002
2	-0.005	0.002	0.00200002	1.88725e-08	0.00100002	0.000999995
3	-0.01	0.003	0.00300002	1.56166e-08	0.00200002	0.000999997
4	-0.015	0.004	0.00400002	1.50391e-08	0.00400001	5.06039e-10
5	-0.02	0.005	0.00500001	1.49983e-08	0.00500001	9.6383e-10
6	-0.03	0.006	0.00600001	1.4963e-08	0.00600001	1.36144e-09
7	-0.05	0.007	0.00700001	1.49244e-08	0.00700001	1.65598e-09
8	-0.1	0.008	0.00800001	1.48691e-08	0.00800001	1.87498e-09
9	-0.2	0.009	0.00900001	1.48118e-08	0.00900001	1.9708e-09
10	-0.5	0.01	0.01	1.47167e-08	0.01	1.99667e-09
11	-1	0.011	0.011	1.46454e-08	0.011	1.98601e-09
12	-1.1	0.012	0.012	1.46418e-08	0.012	1.99287e-09
13	-1.2	0.013	0.013	1.46456e-08	0.013	2.00275e-09
14	-1.3	0.014	0.014	1.4662e-08	0.014	2.02453e-09
15	-1.4	0.015	0.015	1.46974e-08	0.015	2.0648e-09
16	-1.5	0.016	0.016	1.47619e-08	0.016	2.1336e-09
3e-09	3e-08	2000	4000	2000	1.5e-12	10
1	-0.003	0.001	0.00100002	2.07209e-08	0	0.00100002
2	-0.005	0.002	0.00200002	1.73728e-08	0.00100002	0.000999997
3	-0.01	0.003	0.00300001	1.46829e-08	0.00200002	0.000999997
4	-0.015	0.004	0.00400001	1.44925e-08	0.00400001	7.65033e-10
5	-0.02	0.005	0.00500001	1.44516e-08	0.00500001	1.17764e-09
6	-0.03	0.006	0.00600001	1.44141e-08	0.00600001	1.54807e-09
